event,deaths,articles,expected,DES,IPI,feasibility,cfr,gdp,category,country,rsf,year
Polio Pakistan,1,41,0.21842933382539112,187.7,0.2,0.54,0.7,1500,vaccine_preventable,PK,52,2019
Mpox UK 2022,1,34,0.21842933382539112,155.66,0.1,0.51,0.0,46000,emerging,GB,21,2022
Anthrax Zambia,4,102,0.8729810212672753,116.84,0.3,0.67,0.6,1300,zoonotic,ZM,47,2023
H5N1 US dairy,1,24,0.21842933382539112,109.88,0.1,0.47,1.7,76000,zoonotic,US,18,2024
Zika Brazil,20,109,4.345374395294584,25.08,1.1,0.68,0.01,8700,vectorborne,BR,33,2015
Rift Valley Uganda,3,7,0.6549197410101069,10.69,3.2,0.3,30.0,950,viral_hemorrhagic,UG,48,2018
MERS South Korea,39,91,8.428694595862535,10.8,2.0,0.65,21.0,34000,respiratory,KR,26,2015
Ebola Uganda 2022,77,112,16.467198354467016,6.8,6.1,0.68,47.0,950,viral_hemorrhagic,UG,48,2022
Marburg Eq Guinea,12,15,2.6130707126098303,5.74,7.8,0.4,70.6,8000,viral_hemorrhagic,GQ,81,2023
Marburg Rwanda,15,15,3.2635942057717835,4.6,9.5,0.4,22.7,950,viral_hemorrhagic,RW,62,2024
Cholera Syria,100,81,21.251425836043303,3.81,14.3,0.38,0.1,2000,waterborne,SY,83,2022
Nipah Kerala,21,16,4.561367503841793,3.51,10.0,0.35,91.3,2000,zoonotic,IN,44,2018
Measles Samoa,83,42,17.721088421931317,2.37,11.2,0.24,1.5,4000,vaccine_preventable,WS,19,2019
Plague Madagascar,209,84,43.129555085241044,1.95,24.1,0.19,8.7,500,vectorborne,MG,51,2017
COVID-19 Wuhan,4500,1394,433.98649795852765,3.21,17.0,0.32,8.2,10500,respiratory,CN,72,2020
MERS Saudi Arabia,300,91,60.44737367232524,1.51,30.1,0.15,37.5,23000,respiratory,SA,70,2014
Yellow fever Nigeria,100,18,21.251425836043303,0.85,48.3,0.08,2.8,2200,viral_hemorrhagic,NG,50,2017
Cholera Haiti,500,81,95.77768038358623,0.85,52.7,0.08,2.5,1700,waterborne,HT,48,2022
Measles Philippines,580,42,108.95304339257281,0.39,106.4,0.04,1.2,3500,vaccine_preventable,PH,43,2019
Ebola DRC 2018,2287,112,304.10035910879157,0.37,172.4,0.04,65.9,550,viral_hemorrhagic,CD,79,2018
Yellow fever Angola,400,18,78.5590871203518,0.23,182.5,0.02,9.3,2500,viral_hemorrhagic,AO,45,2016
Cholera Malawi,1800,81,261.10774109247745,0.31,144.7,0.03,3.1,650,waterborne,MW,35,2022
Lassa Nigeria,200,9,41.37120131244003,0.22,195.4,0.02,18.2,2200,viral_hemorrhagic,NG,50,2024
Ebola West Africa,2500,112,320.7305652590109,0.35,161.9,0.03,65.8,1000,viral_hemorrhagic,GN,65,2014
COVID-19 Italy,35000,1394,705.2643629345401,1.98,19.4,0.2,14.6,35000,respiratory,IT,27,2020
H7N9 China,616,24,114.71710004719971,0.21,243.5,0.02,39.3,7000,respiratory,CN,72,2013
Mpox DRC 2024,1200,34,196.03289828774334,0.17,357.2,0.02,4.8,550,emerging,CD,79,2024
Dengue Bangladesh,1700,43,251.29372240355983,0.17,282.4,0.02,0.5,2600,vectorborne,BD,53,2023
Dengue Brazil,2000,43,279.67591660627187,0.15,243.8,0.02,0.1,9000,vectorborne,BR,33,2024
H1N1 Swine flu,284000,34,767.3086682935212,0.04,1280.2,0.0,0.5,8000,respiratory,MX,51,2009
