event,deaths,peak_articles,cfr,gdp,category,country,predicted,residual,residual_z,over_reported
COVID-19 Wuhan 2020,4500,1394,8.2,10500,respiratory,CN,433.98649795852765,960.0135020414723,3.4987219380587264,True
COVID-19 Italy 2020,35000,1394,14.6,35000,respiratory,IT,705.2643629345401,688.7356370654599,2.505287184169299,True
Zika Brazil 2015,20,109,0.01,8700,vectorborne,BR,4.345374395294584,104.65462560470542,0.36634976690781196,True
Anthrax Zambia 2023,4,102,0.6,1300,zoonotic,ZM,0.8729810212672753,101.12701897873272,0.3534314736272239,True
Ebola Uganda 2022,77,112,47.0,950,viral_hemorrhagic,UG,16.467198354467016,95.53280164553298,0.33294513604821546,True
MERS South Korea 2015,39,91,21.0,34000,respiratory,KR,8.428694595862535,82.57130540413746,0.285479409975253,True
Cholera Syria 2022,100,81,0.1,2000,waterborne,SY,21.251425836043303,59.7485741639567,0.20190128835195598,True
Plague Madagascar 2017,209,84,8.7,500,vectorborne,MG,43.129555085241044,40.870444914758956,0.13276852041960777,True
Polio Pakistan 2019,1,41,0.7,1500,vaccine_preventable,PK,0.21842933382539112,40.78157066617461,0.13244305793752395,True
Mpox UK 2022,1,34,0.0,46000,emerging,GB,0.21842933382539112,33.78157066617461,0.10680866540114468,True
MERS Saudi Arabia 2014,300,91,37.5,23000,respiratory,SA,60.44737367232524,30.55262632767476,0.09498409016525546,True
Measles Samoa 2019,83,42,1.5,4000,vaccine_preventable,WS,17.721088421931317,24.278911578068683,0.07200939494344483,True
H5N1 US dairy 2024,1,24,1.7,76000,zoonotic,US,0.21842933382539112,23.78157066617461,0.0701881046348886,True
Marburg Eq. Guinea 2023,12,15,70.6,8000,viral_hemorrhagic,GQ,2.6130707126098303,12.38692928739017,0.028460288932741454,True
Marburg Rwanda 2024,15,15,22.7,950,viral_hemorrhagic,RW,3.2635942057717835,11.736405794228217,0.026078035421620002,True
Nipah Kerala 2018,21,16,91.3,2000,zoonotic,IN,4.561367503841793,11.438632496158206,0.02498757290596587,True
Rift Valley Uganda 2018,3,7,30.0,950,viral_hemorrhagic,UG,0.6549197410101069,6.345080258989893,0.006334698984233692,True
Yellow fever Nigeria 2017,100,18,2.8,2200,viral_hemorrhagic,NG,21.251425836043303,-3.2514258360433033,-0.02880824447545731,False
Cholera Haiti 2022,500,81,2.5,1700,waterborne,HT,95.77768038358623,-14.77768038358623,-0.07101803498202042,False
Lassa Nigeria 2024,200,9,18.2,2200,viral_hemorrhagic,NG,41.37120131244003,-32.37120131244003,-0.13544649520876928,False
Yellow fever Angola 2016,400,18,9.3,2500,viral_hemorrhagic,AO,78.5590871203518,-60.559087120351805,-0.23867211371886138,False
Measles Philippines 2019,580,42,1.2,3500,vaccine_preventable,PH,108.95304339257281,-66.95304339257281,-0.26208714013922674,False
H7N9 China 2013,616,24,39.3,7000,respiratory,CN,114.71710004719971,-90.71710004719971,-0.3491124482165784,False
Mpox DRC 2024,1200,34,4.8,550,emerging,CD,196.03289828774334,-162.03289828774334,-0.6102749005227669,False
Cholera Malawi 2022,1800,81,3.1,650,waterborne,MW,261.10774109247745,-180.10774109247745,-0.6764659884498961,False
Ebola DRC 2018,2287,112,65.9,550,viral_hemorrhagic,CD,304.10035910879157,-192.10035910879157,-0.720383628131189,False
Dengue Bangladesh 2023,1700,43,0.5,2600,vectorborne,BD,251.29372240355983,-208.29372240355983,-0.7796846325858012,False
Ebola West Africa 2014,2500,112,65.8,1000,viral_hemorrhagic,GN,320.7305652590109,-208.73056525901092,-0.7812843756191363,False
Dengue Brazil 2024,2000,43,0.1,9000,vectorborne,BR,279.67591660627187,-236.67591660627187,-0.8836218193338109,False
H1N1 Swine flu 2009,284000,34,0.5,8000,respiratory,MX,767.3086682935212,-733.3086682935212,-2.7023188055013994,False
